"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"752","Assam","Installing tube-wells and borewells","WS/MP18019/2025-2026/173483","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","16-Jul-2026","GAUTAM HANSE","Payment In-Progress","111000"
"753","Assam","Installing tube-wells and borewells","WS/MP18019/2026-2027/260735","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","31-Aug-2026","GAUTAM HANSE","Payment In-Progress","74120"
"754","Assam","Installing tube-wells and borewells","WS/MP18019/2026-2027/260732","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","31-Aug-2026","GAUTAM HANSE","Payment In-Progress","74120"
"755","Assam","Installing tube-wells and borewells","WS/MP18019/2024-2025/146093","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","13-Jun-2026","GAUTAM HANSE","Payment In-Progress","10212"
"756","Assam","Installing tube-wells and borewells","WS/MP18019/2024-2025/137606","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","13-Jun-2026","GAUTAM HANSE","Payment In-Progress","10212"
"757","Assam","Installing tube-wells and borewells","WS/MP18019/2024-2025/137592","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","13-Jun-2026","GAUTAM HANSE","Payment In-Progress","37540"
"758","Assam","Installing tube-wells and borewells","WS/MP18019/2024-2025/137607","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","13-Jun-2026","GAUTAM HANSE","Payment In-Progress","10212"
"759","Assam","Installing tube-wells and borewells","WS/MP18019/2025-2026/173483","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","16-Jun-2026","GAUTAM HANSE","Payment In-Progress","10632"
"760","Assam","Installing tube-wells and borewells","WS/MP18019/2026-2027/260735","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","20-Aug-2026","GAUTAM HANSE","Payment In-Progress","105000"
"761","Assam","Installing tube-wells and borewells","WS/MP18019/2026-2027/260732","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","20-Aug-2026","GAUTAM HANSE","Payment In-Progress","105000"
"762","Rajasthan","Construction of community centers and community halls","WS/MP18169/2025-2026/257624","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","25-Aug-2026","UJJAWAL ENTERPRISE","Payment In-Progress","53460"
"763","Delhi","Installation of multi-gym equipment","WS/MP18400/2025-2026/199528","WEST(COMMISSIONER MCD WEST)","Kamaljeet Sehrawat","WEST DELHI","19-May-2026","Radhey Mohan International","Payment In-Progress","165416"
"764","Andhra Pradesh","Installing community drinking water plants","WS/MP529/2024-2025/147335","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","29-Aug-2026","G DAYAKAR","Payment In-Progress","223100"
"765","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/236649","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","09-Aug-2026","G DAYAKAR","Payment In-Progress","488636"
"766","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP728/2025-2026/262937","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","03-Sep-2026","om fhoji construction","Payment In-Progress","749925"
"767","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP584/2025-2026/217168","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","12-Aug-2026","SATAPAR GRAM PANCHAYAT","Payment In-Progress","300000"
"768","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/218120","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","14-Aug-2026","SARA GRAM PANCHAYAT","Payment In-Progress","249216"
"769","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP575/2026-2027/273398","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","23-Aug-2026","GRAM PANCHAYAT KACHHOLI","Payment In-Progress","500000"
"770","Rajasthan","Construction of public toilets and bathrooms","WS/MP18169/2025-2026/185932","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","21-Jul-2026","CHARBHUJA HARDROCK DRILLER","Payment In-Progress","292199"
"771","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18019/2024-2025/137729","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","16-Jul-2026","SIRA RONGHANGPI","Payment In-Progress","77000"
"772","Rajasthan","Lighting of public spaces","WS/MP18162/2025-2026/201389","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","C S TECHNOLOGIES","Payment In-Progress","208064"
"773","Rajasthan","Lighting of public spaces","WS/MP18162/2025-2026/201403","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","C S TECHNOLOGIES","Payment In-Progress","208064"
"774","Rajasthan","Lighting of public spaces","WS/MP18162/2025-2026/202029","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","C S TECHNOLOGIES","Payment In-Progress","208064"
"775","Rajasthan","Lighting of public spaces","WS/MP18162/2025-2026/201379","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","C S TECHNOLOGIES","Payment In-Progress","208064"
"776","Rajasthan","Lighting of public spaces","WS/MP18162/2025-2026/201382","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","05-Aug-2026","C S TECHNOLOGIES","Payment In-Progress","208064"
"777","Rajasthan","Lighting of public spaces","WS/MP18162/2025-2026/200623","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","23-Jul-2026","C S TECHNOLOGIES","Payment In-Progress","209379"
"778","Rajasthan","Lighting of public spaces","WS/MP18162/2025-2026/200624","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","23-Jul-2026","C S TECHNOLOGIES","Payment In-Progress","208453"
"779","Rajasthan","Lighting of public spaces","WS/MP18162/2025-2026/200627","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","23-Jul-2026","C S TECHNOLOGIES","Payment In-Progress","210062"
"780","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP825/2025-2026/266000","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Prasun Banerjee","HOWRAH","24-Aug-2026","MONDAL CONSTRUCTION","Payment In-Progress","1281469"
"781","Maharashtra","Construction of community centers and community halls","WS/MP687/2026-2027/243689","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Sunil Dattatray Tatkare","RAIGAD","02-Sep-2026","Amol Malu Lambore","Payment In-Progress","746000"
"782","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP719/2025-2026/226416","Dudu(DISTRICT COLLECTOR Dudu_IDA)","Bhagirath Chaudhary","AJMER","24-Apr-2026","ARBM CONSTRUCTIONS","Payment In-Progress","498320"
"783","Delhi","Lighting of public spaces","WS/MP18397/2025-2026/250043","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","03-Sep-2026","Nangal Electric Company","Payment In-Progress","649381"
"784","Punjab","Providing supply pipelines for drinking water","WS/MP716/2025-2026/210358","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","01-Sep-2026","J M Traders Bhucho mandi","Payment In-Progress","250000"
"785","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18048/2024-2025/149433","BIJAPUR(Collector Bijapur_IDA)","MAHESH KASHYAP","BASTAR(ST)","17-Jun-2026","GRAM PANCHAYAT MADDED","Payment In-Progress","346092"
"786","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","INDAR MOPRKASH","Payment In-Progress","3861"
"787","Andhra Pradesh","Installing community drinking water plants","WS/MP529/2025-2026/213220","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","10-Aug-2026","Sai Manjula Agencies","Payment In-Progress","419963"
"788","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","rahul omprkash","Payment In-Progress","15561"
"789","Punjab","Construction of toilet blocks","WS/MP18158/2026-2027/268503","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","01-Sep-2026","GUPTA CEMENT STORE","Payment In-Progress","18220"
"790","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18211/2025-2026/215169","DEORIA(DISTRICT MAGISTRATE DEORIA)","SHASHANK MANI","DEORIA","21-Jul-2026","MS MADANPAL SINGH","Payment In-Progress","407481"
"791","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18199/2025-2026/252316","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","05-May-2026","MS SAKET TRADERS","Payment In-Progress","747772"
"792","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18199/2025-2026/200141","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","29-Jul-2026","MS SAKET TRADERS","Payment In-Progress","442410"
"793","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204514","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","22-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"794","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204515","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","22-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"795","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204516","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","22-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"796","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204517","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","22-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"797","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204518","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","22-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"798","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204519","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","22-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"799","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204520","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","22-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"800","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204521","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","22-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"801","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204522","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","23-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"802","West Bengal","Lighting of public spaces","WS/MP481/2025-2026/204523","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","23-Aug-2026","SADIKUL ISLAM","Payment In-Progress","139707"
"803","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18211/2025-2026/215170","DEORIA(DISTRICT MAGISTRATE DEORIA)","SHASHANK MANI","DEORIA","07-Aug-2026","MS AMAR MANI TRIPATHI","Payment In-Progress","539782"
"804","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18211/2025-2026/241674","DEORIA(DISTRICT MAGISTRATE DEORIA)","SHASHANK MANI","DEORIA","29-May-2026","DINESH KUMAR DUBEY","Payment In-Progress","49125"
"805","Karnataka","Construction of buildings for community cultural activities","WS/MP18076/2026-2027/206950","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","DR C N MANJUNATH","BANGALORE RURAL","30-Jun-2026","TUMKUR NIRMITHI KENDRA","Payment In-Progress","750000"
"806","Karnataka","Construction of community centers and community halls","WS/MP18076/2025-2026/220444","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","DR C N MANJUNATH","BANGALORE RURAL","10-Jul-2026","TUMKUR NIRMITHI KENDRA","Payment In-Progress","100000"
"807","West Bengal","Lighting of public spaces","WS/MP249/2026-2027/282366","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Deepak (Dev) Adhikari","GHATAL","03-Sep-2026","DUTTA ENTERPRISE","Payment In-Progress","7247383"
"808","West Bengal","Lighting of public spaces","WS/MP249/2026-2027/282367","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Deepak (Dev) Adhikari","GHATAL","03-Sep-2026","DUTTA ENTERPRISE","Payment In-Progress","8737383"
"809","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18199/2025-2026/247251","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","13-Aug-2026","MS SAKET TRADERS","Payment In-Progress","1658090"
"810","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18199/2025-2026/227891","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","29-Jul-2026","MS SHOBHNATH VERMA","Payment In-Progress","396749"
"811","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18199/2025-2026/205330","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","29-Jul-2026","MS SHOBHNATH VERMA","Payment In-Progress","453306"
"812","Gujarat","Construction of rainwater harvesting structures","WS/MP575/2025-2026/201946","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","02-Sep-2026","PRASHANTKUMAR N GAYKAWAD","Payment In-Progress","1000000"
"813","Gujarat","Construction of rainwater harvesting structures","WS/MP575/2025-2026/201943","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","02-Sep-2026","PRASHANTKUMAR N GAYKAWAD","Payment In-Progress","725000"
"814","Karnataka","Construction of toilet blocks","WS/MP18356/2026-2027/169990","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","PRIYANKA SATISH JARKIHOLI","CHIKKODI","04-Sep-2026","DHANYKUMAR MARUTI MANAGUTTI","Payment In-Progress","138038"
"815","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2024-2025/143918","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","02-Sep-2026","KHURSHEED ALAM CONTRACTOR","Payment In-Progress","96197"
"816","Punjab","Installation of fixed garden gym equipment","WS/MP18156/2025-2026/219859","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","01-Sep-2026","Nikhil Enterprises","Payment In-Progress","94817"
"817","Punjab","Installation of fixed garden gym equipment","WS/MP18156/2025-2026/219867","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","01-Sep-2026","Nikhil Enterprises","Payment In-Progress","94817"
"818","Punjab","Installation of fixed garden gym equipment","WS/MP18156/2025-2026/219875","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","01-Sep-2026","Nikhil Enterprises","Payment In-Progress","94817"
"819","Punjab","Installation of fixed garden gym equipment","WS/MP18156/2025-2026/219861","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","01-Sep-2026","Nikhil Enterprises","Payment In-Progress","94817"
"820","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/260879","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","02-Sep-2026","GHADHAKADA GRAM APNCHAYAT","Payment In-Progress","400000"
"821","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18212/2025-2026/267433","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","ANAND BHADAURIYA","DHAURAHRA","02-Sep-2026","MANNAT CONSTRUCTION","Payment In-Progress","363514"
